first_name,male_count,female_count
Alwyn,8,0
Alyce,0,410
Alyda,0,5
Alyene,0,12
Alyne,0,25
Alyre,5,0
Alys,0,25
Alyse,0,16
Alza,0,6
Alzada,0,6
Alzie,0,5
Alzira,0,5
Ama,0,12
Amada,0,29
Amadeo,22,0
Amado,34,0
Amador,24,0
Amalia,0,124
Amalie,0,5
Amanda,0,341
Amando,11,0
Amber,0,28
Ambers,7,0
Ambrose,166,0
Ambrosio,14,0
Amedee,5,0
Amedeo,9,0
Amedio,5,0
Amel,14,0
Amelda,0,9
Amelia,0,910
Amelie,0,11
Amelio,14,0
Amelita,0,10
America,0,36
Americo,98,0
Americus,6,0
Amerigo,19,0
Ames,7,0
Amey,0,12
Amie,5,53
Amiel,8,0
Amil,6,0
Amilda,0,6
Amma,0,9
Ammie,0,22
Ammon,16,0
Amon,14,0
Amos,506,0
Amous,13,0
Amparo,0,68
Amy,0,604
Amye,0,12
Ana,0,61
Anabel,0,43
Anabelle,0,7
Anacleto,9,0
Anah,0,6
Anahid,0,6
Anamae,0,11
Ananias,8,0
Anastacia,0,13
Anastacio,36,0
Anastasia,0,97
Anastasio,11,0
Anastasios,5,0
Anatole,11,0
Ance,8,0
Ancel,14,0
Ancil,33,0
Ancle,7,0
Ander,9,0
Anderson,138,0
Andre,53,0
Andrea,14,133
Andreas,11,0
Andree,0,15
Andres,104,0
Andrew,3744,24
Andrews,5,0
Andrez,6,0
Andy,266,6
Aneita,0,8
Aneta,0,10
Anetta,0,7
Angel,112,20
Angela,5,600
Angelena,0,18
Angelene,0,14
Angelia,0,5
Angelica,0,56
Angelina,6,1082
Angeline,0,822
Angelita,0,118
Angella,0,9
Angelle,0,6
Angelo,959,7
Angelyn,0,14
Angie,0,213
Anglina,0,5
Angline,0,6
Angus,61,0
Anice,0,22
Aniceto,11,0
Anie,0,6
Aniela,0,9
Aniello,15,0
Anise,0,12
Anita,0,1853
Anitra,0,6
Ann,14,5035
Anna,32,13076
Annabel,0,123
Annabell,0,118
Annabella,0,12
Annabelle,0,673
Annalea,0,5
Annalee,0,29
Annamae,0,117
Annamarie,0,51
Annamay,0,31
Annarose,0,10
Annastasia,0,6
Anne,9,3627
Annell,0,9
Annella,0,8
Annelle,0,19
Annemarie,0,11
Anner,0,17
Annett,0,10
Annetta,0,112
Annette,0,868
Annice,0,32
Annie,41,7347
Anniebell,0,5
Anniebelle,0,8
Anniemae,0,17
Annis,0,54
Annita,0,5
Annmarie,0,13
Annunziata,0,6
Anola,0,6
Anona,0,9
Ansel,40,0
Anselm,5,0
Anselma,0,14
Anselmo,26,0
Anson,29,0
Antha,0,15
Anthoney,6,0
Anthony,5191,20
Antimo,5,0
Antionette,0,38
Antoine,23,0
Antoinetta,0,12
Antoinette,0,1333
Anton,202,0
Antone,99,0
Antonetta,0,50
Antonette,0,106
Antonia,8,334
Antonietta,0,6
Antoniette,0,5
Antonina,0,37
Antonino,10,0
Antonio,689,14
Antony,20,0
Aphrodite,0,13
Apolinar,14,0
Apolonia,0,20
Apolonio,23,0
April,0,10
Aquilla,9,12
Ara,6,50
Arabella,0,17
Arabelle,0,13
Arah,0,9
Aram,19,0
Araminta,0,11
Arbell,0,6
Arbie,11,0
Arbutus,0,40
Arby,12,0
Arcadio,13,0
Arcelia,0,14
Arcenia,0,6
Arch,42,0
Archer,25,0
Archibald,61,0
Archie,1037,36
Arcie,6,0
Arcola,0,8
Arda,0,11
Ardath,0,47
Ardean,0,15
Ardelia,0,39
Ardell,53,62
Ardella,0,111
Ardelle,0,54
Arden,139,0
Ardena,0,10
Ardene,0,11
Ardes,0,6
Ardeth,0,25
Ardie,8,13
Ardine,0,5
Ardis,25,199
Ardith,0,125
Ardyce,0,39
Ardys,0,25
Ardyth,0,19
Ardythe,0,10
Areatha,0,6
Arel,6,0
Areta,0,5
Aretha,0,30
Aretta,0,32
Argentina,0,7
Argie,0,29
Argle,5,0
Argus,5,0
Arguster,6,0
Argyl,5,0
Arie,22,39
Ariel,8,11
Arietta,0,16
Arilla,0,9
Arillia,0,5
Arine,0,6
Arion,8,0
Aris,10,6
Aristeo,9,0
Aristides,6,0
Arita,0,5
Arizona,0,28
Arkie,0,5
Arkley,5,0
Arl,5,0
Arla,0,40
Arlan,28,0
Arland,32,0
Arlander,7,0
Arlayne,0,5
Arlean,0,38
Arleane,0,6
Arleda,0,5
Arlee,14,14
Arleen,0,178
Arleene,0,16
Arleigh,9,5
Arlen,33,5
Arlena,0,46
Arlene,0,2277
Arles,7,0
Arlester,5,0
Arleta,0,13
Arletha,0,23
Arlethia,0,11
Arletta,0,48
Arlette,0,15
Arley,40,8
Arlie,148,37
Arlien,0,5
Arliene,0,7
Arlillian,0,6
Arlin,53,7
Arline,0,677
Arling,6,0
Arlington,28,0
Arlis,36,10
Arliss,11,16
Arlita,0,5
Arlo,67,0
Arloa,0,6
Arlon,21,0
Arlone,0,9
Arlus,6,0
Arlyce,0,7
Arlyn,24,22
Arlyne,0,40
Arlys,0,20
Arma,0,12
Arman,8,0
Armand,320,0
Armanda,0,9
Armande,0,6
Armando,193,0
Armatha,0,6
Armeda,0,16
Armelia,0,10
Armella,0,32
Armen,10,0
Armena,0,5
Armenia,0,5
Armenta,0,8
Armentha,0,7
Armetta,0,7
Armida,0,37
Armie,0,6
Armilda,0,8
Armin,45,0
Armina,0,7
Arminda,0,14
Arminta,0,17
Armistead,7,0
Armon,16,0
Armond,71,0
Armondo,8,0
Armour,5,0
Armstead,10,0
Arna,0,6
Arne,37,0
Arneda,0,12
Arnell,0,18
Arnella,0,6
Arneta,0,7
Arnetha,0,6
Arnett,22,0
Arnetta,0,37
Arnette,0,13
Arnice,0,6
Arnie,24,8
Arnita,0,21
Arno,34,0
Arnol,5,0
Arnold,2014,17
Arnoldo,11,0
Arnulfo,32,0
Arol,5,0
Aron,79,0
Arona,0,5
Arra,0,6
Arretta,0,7
Arrie,9,21
Arron,12,0
Arsenia,0,6
Arsenio,11,0
Arshag,5,0
Arsie,0,9
Arsula,0,5
Art,50,0
Arta,0,8
Artelia,0,7
Artell,0,5
Artemio,8,0
Artemis,0,17
Artemisa,0,9
Artemus,9,0
Artha,0,6
Arthel,5,0
Arthella,0,7
Arther,104,5
Arthor,12,0
Arthur,10172,56
Artice,8,6
Artie,57,148
Artis,53,22
Arturo,148,0
Aruther,5,0
Arva,0,23
Arvada,0,5
Arval,9,0
Arvel,45,0
Arvell,5,0
Arvella,0,34
Arvena,0,6
Arvey,6,0
Arvid,60,0
Arvie,11,14
Arvil,79,0
Arvilla,0,96
Arville,28,0
Arvin,47,0
Arvine,9,0
Arvis,11,0
Arvle,9,0
Arvo,6,0
Arwilda,0,5
Arwin,6,0
Arwood,5,0
Ary,0,5
Arzella,0,14
Arzie,6,0
Asa,106,0
Asako,0,12
Asalee,0,5
Asao,6,0
Asberry,8,0
Asbury,13,0
Ascencion,12,0
Ascension,9,9
Asencion,17,10
Ashby,14,0
Asher,16,0
Ashley,46,0
Ashton,24,0
Asie,5,6
Asilee,0,6
Aslee,0,6
Aspasia,0,6
Assunta,0,43
Aster,8,8
Aston,5,0
Astrid,0,17
Asuncion,0,7
Asunta,0,5
Atanacio,12,0
Atha,5,42
Athalee,0,7
Athaleen,0,6
Athalene,0,6
Athalie,0,10
Athan,6,0
Athel,13,0
Athelene,0,7
Athelia,0,5
Athena,0,51
Athene,0,7
Athleen,0,7
Athol,8,0
Atilano,5,0
Atlas,15,5
Atlee,12,0
Atline,0,5
Atsushi,11,0
Attie,0,9
Attilio,39,0
Atwell,6,0
Atwood,12,0
Aubert,8,0
Aubery,11,0
Aubra,13,0
Aubrey,455,35
Aubry,33,0
Auburn,14,0
Auda,0,8
Audelia,0,9
Audell,0,6
Audery,0,6
Audie,31,55
Audine,0,11
Audley,27,5
Audra,6,78
Audray,0,9
Audre,0,21
Audrea,0,11
Audree,0,27
Audrey,61,3520
Audria,0,16
Audrie,0,38
Audry,18,59
Augie,9,0
August,574,6
Augusta,20,241
Augustin,26,0
Augustina,0,44
Augustine,146,70
Augustino,10,0
Augusto,8,0
Augustus,155,0
Auline,0,6
Aune,0,7
Aura,0,14
Aurea,0,6
Aurel,8,0
Aurelia,0,187
Aureliano,6,0
Aurelie,0,5
Aurelio,58,0
Aurelius,7,0
Aurie,0,5
Aurora,0,357
Aurore,0,13
Aurther,5,0
Aurthur,6,0
Ausie,5,0
Austin,420,0
Austine,0,8
Auston,7,0
Australia,0,10
Authar,6,0
Auther,49,0
Author,43,0
Authur,30,0
Autrey,5,0
Autry,8,13
Ava,0,157
Avalee,0,7
Avalene,0,9
Avaline,0,5
Avalon,0,19
Avanell,0,30
Avanelle,0,27
Ave,0,5
Avelina,0,11
Avelino,9,0
Avenell,0,6
Averil,5,11
Averill,0,6
Avery,123,12
Avice,0,6
Avie,0,23
Avis,13,430
Avo,0,12
Avon,17,22
Avonell,0,9
Avonelle,0,16
Avonne,0,17
Avril,0,21
Awanda,0,6
Awilda,0,7
Axel,22,0
Ayako,0,24
Ayleen,0,7
Aylene,0,10
Aza,0,6
Azalea,0,10
Azalee,0,50
Azalene,0,5
Azalia,0,10
Azaline,0,5
Azelia,0,6
Azell,10,0
Azile,0,9
Azilee,0,20
Azlee,0,8
Azzie,0,33
Babe,11,14
Babette,0,26
Baby,11,24
Bailey,44,0
Baird,5,0
Baker,9,0
Balbina,0,11
Baldassare,5,0
Baldemar,10,0
Baldomero,16,0
Baldwin,9,0
Ballard,17,0
Baltazar,6,0
Bama,0,10
Banks,11,0
Bannie,0,9
Barbara,12,8305
Barbra,0,24
Barkley,7,0
Barnard,12,0
Barnell,5,0
Barnett,11,6
Barney,275,0
Barnie,20,0
Baron,8,0
Barrett,12,0
Barrie,10,0
Barron,13,0
Barry,52,0
Bart,47,0
Bartholomew,41,0
Bartlett,11,0
Bartley,17,0
Bartolo,13,0
Barton,76,0
Bascom,23,0
Basil,281,0
Basilia,0,8
Basilio,24,0
Baudelia,0,5
Baudelio,5,0
Baxter,58,0
Bayard,25,0
Baylor,6,0
Bazel,5,0
Bazil,8,0
Bea,0,20
Beadie,0,12
Bearl,7,0
Beata,0,12
Beathrice,0,5
Beatric,0,6
Beatrice,15,5271
Beatris,0,8
Beatriz,0,55
Beatryce,0,12
Beauford,33,0
Beaulah,0,74
Beauty,0,10
Bebe,0,54
Beckham,5,0
Beckie,0,8
Becky,0,37
Beda,0,5
Bedford,41,0
Bee,13,12
Beebe,0,6
Beecher,25,0
Bela,0,7
Belarmino,7,0
Beldon,8,0
Belen,0,28
Belford,10,0
Belia,0,32
Belinda,0,7
Bell,0,33
Bella,0,134
Belle,0,162
Belma,0,13
Belton,31,0
Belua,0,5
Belva,0,161
Belvia,0,9
Belvin,11,0
Ben,1170,14
Bena,0,6
Benancio,8,0
Benard,28,0
Benedetta,0,14
Benedetto,12,0
Benedict,114,0
Benedicta,0,6
Benetta,0,10
Benford,11,0
Benie,6,0
Benigna,0,7
Benigno,9,0
Benita,0,81
Benito,121,0
Benjaman,37,0
Benjamen,13,0
Benjamin,2221,5
Benjamine,20,0
Benjiman,78,0
Benjimin,5,0
Bennett,96,0
Benney,6,0
Bennie,873,199
Benno,11,0
Benny,415,12
Bennye,0,7
Benoit,5,0
Benson,43,0
Bentley,16,0
Benton,71,0
Beola,0,13
Bera,0,8
Berda,0,9
Berdean,0,5
Berdell,8,8
Berdella,0,6
Berdena,0,13
Berdene,0,7
Berdia,0,6
Berdie,0,17
Berdina,0,5
Berdine,0,14
Berenice,0,70
Berge,6,0
Berkeley,15,0
Berkley,29,0
Berl,19,0
Berle,12,0
Berlie,9,8
Berlin,34,5
Berline,0,11
Berlyn,5,0
Berma,0,9
Berman,12,0
Berna,0,22
Bernabe,19,0
Bernadean,0,19
Bernadeen,0,5
Bernadene,0,20
Bernadetta,0,9
Bernadette,0,347
Bernadine,0,563
Bernal,5,0
Bernard,4505,19
Bernarda,0,13
Bernardina,0,6
Bernardine,0,74
Bernardino,17,0
Bernardita,0,7
Bernardo,34,0
Bernarr,11,0
Berne,5,0
Bernece,0,15
Berneda,0,14
Berneice,0,135
Berneita,0,6
Bernell,15,20
Bernelle,0,7
Bernerd,15,0
Bernese,0,8
Bernestine,0,8
Berneta,0,14
Bernetha,0,5
Bernetta,0,54
Bernette,0,12
Bernhard,36,0
Bernhardt,13,0
Bernice,110,6033
Bernie,89,29
Berniece,0,331
Bernis,11,0
Bernise,0,7
Bernita,0,85
Bernon,5,0
Bernyce,0,32
Berry,57,8
Bert,620,13
Berta,0,110
Bertha,23,4122
Berthamae,0,5
Berthe,0,11
Berthold,5,0
Bertice,0,6
Bertie,19,260
Bertil,13,0
Bertilla,0,8
Bertin,5,0
Bertina,0,21
Bertine,0,6
Bertis,13,0
Berton,53,0
Bertram,223,0
Bertran,5,0
Bertrand,95,0
Bertrum,5,0
Berwin,5,0
Berwyn,15,0
Beryl,77,219
Beryle,0,26
Bess,0,81
Besse,0,7
Bessie,21,3404
Bessy,0,5
Beth,0,319
Betha,0,8
Bethal,0,6
Bethany,0,9
Bethel,32,116
Bethene,0,9
Bethine,0,5
Betrice,0,10
Betsey,0,16
Betsy,0,236
Betta,0,5
Bette,6,1736
Bettejane,0,5
Bettelou,0,9
Bettey,0,6
Betti,0,7
Bettie,5,1228
Bettilou,0,6
Bettina,0,26
Betty,68,30600
Bettyann,0,24
Bettye,0,439
Bettyjane,0,79
Bettyjean,0,21
Bettyjo,0,16
Bettylee,0,12
Bettylou,0,74
Bettymae,0,15
Beuford,11,0
Beula,0,31
Beulah,5,2006
Beuna,0,13
Beverlee,0,22
Beverley,15,147
Beverlie,0,11
Beverly,107,2283
Bevie,0,5
Biaggio,7,0
Biagio,19,0
Bianca,0,9
Bicente,5,0
Biddie,0,6
Bilbo,6,0
Bill,2067,18
Billee,0,10
Billey,7,0
Billie,882,1599
Billy,3271,98
Billye,7,107
Bina,0,13
Bing,7,0
Binnie,0,9
Bion,8,0
Birch,5,0
Birchard,5,0
Birchie,0,7
Birda,0,16
Birdell,0,10
Birdella,0,7
Birdena,0,9
Birder,0,8
Birdia,0,6
Birdie,6,227
Birl,11,0
Birney,6,0
Birt,12,0
Birtha,0,62
Birtie,0,23
Bishop,33,0
Bissie,0,5
Bitha,0,6
Bivian,5,0
Blain,9,0
Blaine,148,0
Blair,77,7
Blaise,6,0
Blake,41,0
Blanca,0,8
Blanch,0,181
Blanchard,6,0
Blanche,6,2033
Blanchie,0,35
Bland,14,0
Blandina,0,5
Blane,5,0
Blannie,0,8
Blanton,5,0
Blas,17,0
Blasa,0,5
Blase,5,0
Blenda,0,5
Bliss,6,0
Blondell,0,36
Blondena,0,7
Blondie,0,7
Blondina,0,8
Blonnie,0,9
Blossie,0,6
Blossom,0,82
Bluma,0,7
Blythe,0,6
Bob,1167,7
Bobbe,0,5
Bobbette,0,6
Bobbie,239,503
Bobby,733,99
Bobbye,0,42
Bobette,0,12
Bobie,11,6
Boby,5,0
Bohdan,5,0
Boice,5,0
Boleslaus,13,0
Boleslaw,7,0
Bonard,5,0
Boneta,0,5
Boniface,14,0
Bonifacio,22,0
Bonita,0,167
Bonna,0,26
Bonnell,0,9
Bonnetta,0,5
Bonnie,73,2296
Bonnielee,0,5
Bonny,8,21
Bonnye,0,8
Booker,181,0
Boone,8,0
Boots,0,14
Borden,5,0
Borghild,0,7
Boris,37,0
Boss,12,0
Boston,13,0
Bowman,8,0
Boyce,99,0
Boyd,459,9
Boyde,6,0
Boykin,6,0
Brack,8,0
Braden,7,0
Bradford,76,0
Bradie,7,0
Bradley,86,0
Brady,85,0
Brainard,6,0
Brandon,12,0
Brandt,5,0
Brant,5,0
Brantley,7,0
Braulio,8,0
Braxton,19,0
Brenda,0,44
Brendan,17,0
Brent,18,0
Brenton,14,0
Breta,0,5
Brewster,7,0
Brian,38,0
Brice,50,0
Bridget,0,81
Bright,8,0
Brigida,0,13
Brinton,7,0
Britt,12,0
Britton,8,0
Broadus,32,0
Brock,6,0
Brodie,16,0
Bronislaus,16,0
Bronislaw,10,0
Bronson,6,0
Brooke,5,0
Brookie,0,9
